Category,Puzzle,Letters
Phrase,HIGH VOLTAGE,C D P I
Phrase,QUITE A SHOCK,
On the Menu,WHOPPER,C D P A
Phrase,THINK BACK,C M G A
Thing,A JAR OF BABY FOOD,C D M O
Place,WHARF,B D G A
Place,HOBBY SHOP,C H P A
Phrase,REMAIN CALM,D M B A
Fictional Character,ROCKY BALBOA,B P D O
Title,THE VIEW,G H C I
Song Lyrics,WHEN THE BOUGH BREAKS,H C W I
Thing,VISA CARD,? ? C A
Phrase,IN A JIFFY,C H A M
Thing,JACKKNIFE,C A H M
Landmark,FENWAY PARK,A D C P
Fun & Games,HOPSCOTCH,H P D O
Phrase,UP IN SMOKE,D M C A
Phrase,BY AND LARGE,D M P I
Phrase,ON A WHIM,C H M I
Person,FOLK HERO,C D P I
Place,A BUSY THOROUGHFARE,F G K A
Event,BASKET WEAVING,C D M A
Thing,COLORING BOOK,G D M I
Phrase,OFF WE GO,B D P A
Phrase,WISHFUL THINKING,M G C A
Living Thing,CARIBOU,H K W O
Occupation,CHIMNEY SWEEP,C D M I
Event,BLIZZARD,C H M A
Proper Name,TOBEY MAGUIRE,P D M A
Thing,KEEPSAKE,P K M A
Phrase,A HAPPY MEDIUM,P M C A
Phrase,PIPE DOWN,C M P A
Phrase,HEALTH KICK,C M P O
People,THE FOLKS BACK HOME,C H M A
Thing,YULE LOG,G C M I
People,CHOIRBOYS,C F P A
Thing,FRUITCAKE,C D H I
Thing,SKI PARKA,
Thing,DOOR PRIZE,C D M A
Thing,GOODIE BAG,C M P A
On the Map,SHANGHAI,C M P A?
Phrase,MAKE A WISH,C H D O
Thing,HIGH SCHOOL DIPLOMA,M K B A
Phrase,OUT OF BOUNDS,D G M O
Phrase,WALK IT OFF,C D M O
Thing,BLITZ,B F C I
Thing,GRIDIRON,C M B A
Thing,MOUTHGUARD,D W C A
Phrase,UP UP AND AWAY,C D M A
Event,VOYAGE,M P D A
Phrase,IN FINE FORM,F M C I
Phrase,OFF-ROAD,M D H I
Phrase,THINK BIG,C H P I
Phrase,COOKING WITH GAS,H C P I
Fun & Games,BINGO CARD,D M A H
Phrase,PRIDE & JOY,C M H O
Thing,PASSWORD,U M P C
Thing,HOMESPUN WISDOM,C M D I
Place,HOCKEY RINK,G C M I
Phrase,AW SHUCKS,M C D I
Place,BOX OFFICE,P C D O
Thing,EXHIBIT A,C D F I
Title,SEABISCUIT,C H P A
Place,MILKY WAY GALAXY,Y P D A
Thing,YEARBOOK PHOTO,C M B A
Thing,BIKE RACK,D F H I
Around the House,FLIP-FLOPS,C G P O
Thing,FAX NUMBER,H C D A
Thing,COURTSHIP,D G H A
Phrase,BOY-CRAZY,C M P A
Phrase,HOT & HEAVY,D C M A
Person,A REAL HUNK,A G K H
Title,I GOT YOU BABE,H M D A
Proper Name,GEORGE LOPEZ,D M P I
Thing,TUXEDO JACKET,C D M A
Person,LUCKY DOG,C M P A
Things,CORNY JOKES,C D M A
Phrase,QUALITY TIME,D M G I
Thing,JUMBO JET,C D M A
Thing,CABBAGE,C M P A
Around the House,PIGGY BANK,D C M I
Phrase,HOG HEAVEN,D M P A
Phrase,IN THE BLACK,H C P O
Around the House,VINEGAR,M D P O
Phrase,FOOD FOR THOUGHT,F H G O
Thing,PROVERB,C G F I
On the Map,HALIFAX,M C D A
Living Thing,GIRAFFE,M C D O
Around the House,GRAVY BOAT,F P D I
Thing,VIOLIN,D M H O
Phrase,FOGGED IN,D H P I
Event,KAYAKING,B M G I
Phrase,WIDE LOAD,M C D O
Thing,COURAGE,C D M O
Title,JUDGE JUDY,C D G A
Things,RUBIES,D C P I
Things,TWIGS,P D M O
Phrase,VIM AND VIGOR,? ? ? I
Thing,HONEYCOMB,M C H A
Thing,BLIMP,C P D O
Thing,SUBWAY,M P D A
Person,A TOUGH COOKIE,M C D I
Thing,JUICY GOSSIP,P D H I
Event,WIPEOUT,C P M O
On the Menu,MUFFIN,C W M I
People,BEACH BUMS,C H M A
On the Map,TAIWAN,
Fun & Games,GO FISH,K H D I
Around the House,FUSE BOX,C M P A
Place,LOBBY BAR,B G D O
Show Biz,THE BEACH BOYS,H D M O
Phrase,TOUCH AND GO,D B H U
Thing,WINDBREAKER,D M C O
Fun & Games,JUNGLE GYM,M D C I
Thing,WISHBONE,H B D I
Thing,TAFFY,M C D A
Place,PIZZA JOINT,C D G O
Event,BAKE-OFF,H C P A
Fictional Character,BAZOOKA JOE,P H D A
Phrase,FORTY WINKS,H M B O
Thing,AIR GAUGE,
Phrase,IN GOOD FAITH,H M D O
On the Map,LUBBOCK,G H P I
Around the House,HEINZ KETCHUP,G H P A
Thing,PRIVACY,C K G A
Event,GIVING BIRTH,A Y P D
Phrase,TAKE FIVE,C M P A
Thing,A BIG FAVOR,C D M O
Thing,TUGBOAT,M D P O
Living Thing,GRIZZLY CUB,C M P O
On the Map,GARY INDIANA,M P C A
Around the House,WORKBENCH,F C P U
Phrase,KID STUFF,C D M A
Event,BOOK FAIR,C M Y A
Title,TV GUIDE,D B H A
Thing,A GOOD OMEN,B D M A
Phrase,HEAVY-DUTY,H M D A
Event,WILD GOOSE CHASE,H C D O
Thing,GRAVITY,C M H A
Things,HIKING BOOTS,G D P I
Thing,KEYBOARD,C D M A
People,HAWAIIANS,C M P A
Living Thing,DAFFODIL,M P D O
Fictional Character,HEIDI,M P H A
Place,BIKE PATH,D M C A
Phrase,KEEPING BUSY,P M C I
Phrase,A BLAZE OF GLORY,B O P C
Living Thing,FAWN,
Proper Name,JEFF BRIDGES,B M D A
Place,FRAME SHOP,C P F O
Things,CUFF LINKS,G P D O
Thing,WAGON,C H K I
Phrase,GONE HAYWIRE,F C H I
Thing,WOOD GLUE,G M C O
Thing,BALL GOWN,C D M O
Phrase,YAKETY-YAK,C B M A
Things,DIGITS,C M D A
Thing,FORKLIFT,D W C A
Phrase,HALF-BAKED,C H P O
Thing,IVORY SOAP,K M W O
Thing,WEB BROWSER,C M B O
Thing,BALE OF HAY,H M P A
Thing,MUGGY WEATHER,C M P A
Thing,A GULF,C M D A
Thing,BRAVERY,B C D A
Fun & Games,KICKBOXING,W P G I
Thing,TEXTBOOK,C H P I
Phrase,HUNKY-DORY,D M P I
Thing,TAXI FARE,M D I P
Phrase,FORGIVE ME,B C M A
Phrase,HIGH IN FIBER,M D P O
Thing,MOVING VAN,D B G A
Phrase,WIDE-AWAKE,G M B A
Phrase,MAKE-BELIEVE,B M C A
Person,BUSYBODY,C M P O
Thing,CORKBOARD,D C B O
Fun & Games,CRAZY EIGHTS,C D M A
Thing,GOOD JUDGMENT,C D G A
Person,MOVIE BUFF,H M F I
Phrase,THE GLOVES ARE OFF,F C D A
Event,JOB-HUNTING,H D G O
Living Things,BEGONIAS,C D B O
Living Thing,SKUNK,B P G O
Phrase,ROOM & BOARD,P G C A
On the Menu,BIG GULP,C D M O
Thing,FALL FOLIAGE,C M P O
Thing,PHILOSOPHY,P H G A
Thing,BIKE LOCK,B D G O
Person,UNSUNG HERO,C D A P
Phrase,FOUL TROUBLE,D C M I
Things,GYM SOCKS,C M P A
Phrase,HOT HAND,G B D O
Things,JUMPING JACKS,D M H O
Thing,PIZZA OVEN,D H P O
Living Thing,HALIBUT,M D P A
On the Menu,CHOW MEIN,D H B A
Phrase,FULL-FLAVORED,C D G A
Things,HUNGER PANGS,C D M I
Event,BIG BASH,H P D I
Thing,HUMIDITY,M D B O
On the Menu,PEACH DAIQUIRI,C M H A
Phrase,A LAUGH RIOT,C D P A
Event,TAKING A WEEK OFF,G D P A
Fictional Character,BUZZ LIGHTYEAR,P A M D
Thing,KEY CHAIN,P M D A
Thing,GOLDFISH BOWL,A D M P
Phrase,GROW UP,M P D O
Thing,BIOLOGY,C G A P
Thing,FOLK TALE,C D H I
Phrase,I'M DRAWING A BLANK,D C H O
Around the House,MAKEUP BRUSH,H M F O
Thing,PLYWOOD,H C G A
Best Seller,JOY OF COOKING,D H M I
Thing,HORIZON,F H P O
Living Thing,WATCHDOG,D C M O
Title,VANITY FAIR,H Y C A
On the Map,BURBANK,D P F I
Show Biz,JUGGLER,D C G U
Phrase,ZOOM IN,I C P M
Phrase,HANG BACK,K D P I
Around the House,OAK BUREAU,C D G A
Things,SKI GOGGLES,K C G I
Phrase,THINK FAST,H K F A
Phrase,HUNKER DOWN,B G M A
Phrase,IN FULL SWING,C M P I
Phrase,POINT OF VIEW,M H P A
Place,BOUTIQUE,M D P I
Rhyme Time,HODGEPODGE,C M P A
Place,BUNGALOW,D P M A
Phrase,WAVE THE FLAG,H M B A
Living Thing,BABY'S BREATH,G D M A
Phrase,GIVE ME A HINT,M C P A
Person,HOMEBODY,C M P A
Phrase,A GREAT BUY,G C M A
Phrase,WEARING TWO HATS,D G P O
Living Thing,HEIFER,B C D A
Thing,PAY STUB,M D B A
Phrase,AHEAD OF THE CURVE,D M B A
On the Menu,RHUBARB PIE,P G M I?
Phrase,I'VE GOT A HUNCH,G M C O
Phrase,WORTH THE RISK,P H Y U
Occupation,FRY COOK,P C W I
Thing,CURFEW,C D M A
Thing,A GUST OF WIND,B G H A
People,PEP SQUAD,D C B I
Thing,BEAR HUG,G F C A
Around the House,PHOTO ALBUM,H P C O
Living Thing,HOUSEFLY,C D G A
Phrase,FLAG ON THE PLAY,H C P A
Things,BRAINS AND BRAWN,B C P A
Thing,OLD RIVALRY,D V M O
Phrase,SQUARING OFF,G K C A
Things,BANDAGES,P C D A
In the Kitchen,HAND MIXER,C D P I
Phrase,I'M FLEXIBLE,M P D I
Phrase,JUST WING IT,G P D O
Thing,KNOWLEDGE,P V C I
Phrase,A BRIGHT FUTURE,M D P O
Thing,RISKY MOVE,D M H A
Phrase,BUNDLE OF JOY,C M D O
Phrase,LAUGH IT OFF,M H D A
Phrase,I APOLOGIZE,C D H A
Fun & Games,MIXED DOUBLES,D F M A
Thing,PATIO COVER,M C H A
Phrase,A HEALTHY GLOW,M P Y O
Living Thing,FLAMINGO,D C H A
In the Kitchen,JUICE BOX,H C M O
Thing,A SKIMPY BIKINI,D G M I
Person,BIRTHDAY BOY,B G M O
Classic TV,MIAMI VICE,I C P D
Phrase,WALK THE PLANK,H D G O
Phrase,A FAIR SHAKE,F G C A
Things,HOURLY WAGES,G C M O
Thing,GROUP HUG,C P G A
Thing,KNOW-HOW,D M P O
Thing,MOVIE TRIVIA,H D M A
On the Map,DUBUQUE IOWA,P M C A
Phrase,I MISJUDGED YOU,D B M A
Phrase,MAKING A FUSS,P M K A
Person,SIBLING,C D M O
On The Map,TAHITI,M B D A
Thing,COPYRIGHT,D C P A
Phrase,FORCE OF HABIT,C H D A
Phrase,MAKING WAVES,G D C I
Phrase,ON MY BEHALF,M D C I
Phrase,PAVING THE WAY,M K D I
Thing,SYMPHONY,C D K I
Things,GOLD COINS,B D M O
On the Map,PUEBLO,D B M O
Phrase,GOING DUTCH,D M C A
Phrase,IN THE GROOVE,H C G I
Rhyme Time,SKY-HIGH,B D M A
Event,MATH QUIZ,H M G O
Phrase,FLUFF AND FOLD,D C B A
Event,GIVING BLOOD,K Y C O
Things,HOUSEHOLD CHORES,H C D O
On The Map,KUWAIT,D C M I
Thing,YOUNG LOVE,C K M A
Phrase,JUST FOCUS,M P C U
Event,BLOWING A FUSE,H G I C
Phrase,BODY LANGUAGE,G B M I
Thing,FISHHOOK,C D H O
Show Biz,JAZZ GUITAR,A C D M
Things,VALUABLES,M D G A
On the Map,BOLIVIA,M D P A
Living Thing,BULLFROG,D M C O
Phrase,I GAVE MY WORD,H C M I
Around The House,DOOR HINGE,D C H O
Thing,HEAVY WORKLOAD,D M B A
Phrase,A GOOD FIT,C H W A
Phrase,BRIEF ME,B M K A
Things,HOBBIES,P D C O
Phrase,QUITE A JOLT,C G M A
Person,CIVIL WAR BUFF,F D C A
Fictional Characters,GOOFY & PLUTO,P C D O
Phrase,HIGH MARKS,B C D I
Phrase,THICK AND JUICY,D G M O
Thing,BUBBLE WRAP,M D A C
Thing,TOUGH BREAK,H C P A
Phrase,HALF-OFF,B M C A
Phrase,DON'T GIVE UP,D P M O
Event,HAVING A BABY,G C D I
Phrase,JOIN HANDS,D P M A
Phrase,NO EASY FIX,O Y C D
Phrase,I BEG TO DIFFER,O M D H
In the Kitchen,BAKING DISH,D C B A
Phrase,JUMBO-SIZE,H C D O
Place,YOGA STUDIO,C D G O
Phrase,BACK IN A FLASH,C G M A
Thing,PLUMBING,B H M O
Place,BIKE SHOP,P M C A
Thing,FEAR OF HEIGHTS,P C H O
Things,HAZY SKIES,H M C O
People,YOUNG HIP CROWD,M G F A
Thing,A QUICK BITE,C K M A
Person,DOG SHOW JUDGE,C W D I
Thing,NIGHT JOB,G H O D
Fun & Games,JACK OF CLUBS,C G M A
Things,JOB SKILLS,K D C U
Thing,INSIGNIA,P G D A
People,YOUTH CHORUS,C H M A
On the Map,MOUNT FUJI,C D M A
Thing,HOUSEWORK,D M G O
Phrase,GOING HALFWAY,D M H O
Phrase,A MIXED BAG,D M C I
Thing,WAVY HAIR,C D P A
Thing,PUBLICITY,H C B A
Phrase,BY DESIGN,D M P I
Things,BIG PROFITS,C M P O
Phrase,EBB AND FLOW,D B G A
On the Map,WICHITA,M G P A
Person,TOUGH GUY,D H M A
Thing,FUEL GAUGE,C D M O
Phrase,HAVE FAITH,B D M O
Place,ORANGE GROVE,P C M O
Person,QUICK STUDY,M B J A
Event,MAKING A VOW,B C M A
Place,SUBURB,P M D A
Things,COWBOY BOOTS,C M H A
Living Thing,FICUS,C D M I
Place,THE FAIRWAY,C P M A
Thing,WAVE GOODBYE,C M D O
Thing,YARD WORK,D G M O
Phrase,TAKE A WHIFF,P C B A
Phrase,IT WAS A FLUKE,W C G I
Person,FUSSY BABY,C M G A
Thing,HINDSIGHT,C M D A
On the Map,SAGINAW,D Y P A
Fictional Characters,BASHFUL & DOPEY,H D M A
Thing,BLOOD TYPE,C G M A
Thing,GOLF VISOR,C H B I
Phrase,HEAVE-HO,B C D A
Phrase,WAFER-THIN,G B F O
People,OHIOANS,F M D A
Food & Drink,HOT WINGS,C B M A
Things,FIGURINES,I M F B
On The Map,HAMBURG,M P F O
Phrase,SHOCK VALUE,H F M I
Place,PUMPKIN PATCH,C D M A
Thing,QUICK PACE,M F P U
Phrase,SHOWING OFF,P G C A
Thing,BAD JOKE,A C M P
Things,COOL GADGETS,A M H C
Phrase,HOW LUCKY,D G M A
On the Map,URUGUAY,C D H A
Thing,VIVID DREAM,D M B A
Phrase,BOYISH CHARM,D H P I
Thing,JOB OFFER,G B D O
Things,GLAZED POTS,F P B O
Place,DUGOUT,M D P I
Event,JULY FOURTH,C D M A
Thing,BACK PAGE,H G B A
Thing,HUMILITY,M D G A
Thing,MAHOGANY DOOR,D M G O
Phrase,TOUGH BUT FAIR,C D M A
Phrase,GIVE ME A HUG,
Thing,JEALOUSY,
Thing,BRIEF OVERVIEW,C P M A
Phrase,WE GO WAY BACK,B C M A
On the Map,OSHKOSH,C H M A
Phrase,IN A HUFF,M H A D
Thing,VETO POWER,H M G A
Food & Drink,BROWN GRAVY,F D C A
Phrase,BEING COY,G D M I
Food & Drink,SMOKED GOUDA,H D C A
Event,THE LONG JUMP,C G D A
Phrase,HEAVEN FORBID,C D H A
Thing,FOOLISH PRIDE,P H B A
Phrase,WARM AND FUZZY,M B G O
Proper Name,GOLDIE HAWN,D G C O
Phrase,YOU'VE GROWN UP,
On the Map,HOBOKEN,D H C I
Phrase,VOUCH FOR ME,M P D O
Phrase,TWO OF A KIND,G M D A
Things,WOOL GLOVES,B D C U
Phrase,CRYING WOLF,M P D O
Thing,FUN HOBBY,D G P O
Living Thing,HEDGEHOG,C D M I
Phrase,HOT AND HUMID,C M B A
Phrase,WORD OF MOUTH,M F G O
Thing,A TIGHT GRIP,C M O D
Thing,FAMILY BUDGET,M J H O
Song Lyrics,I DID IT MY WAY,C D P O
Food & Drink,CHABLIS,C D P A
Things,HIGH HOPES,C H M O
On the Map,IOWA CITY,
Thing,DUNE BUGGY,P C M O
Food & Drink,FUDGE CAKE,B C D A
Phrase,I APPROVE,M H C A
Event,BUYING BOOKS,B D M A
Thing,A BIG HINT,G D M A
Event,HUGE OVATION,C D G A
Thing,KEYPAD,C D M O
Thing,SOLID ALIBI,D M C A
Phrase,GIVE ME A BREAK,B C M O
On the Map,PARK CITY UTAH,P W M O
Thing,BEIGE JACKET,C B F A
Things,FLEXIBLE HOURS,M B D A
Thing,MAILBOX,M H P A
Phrase,WIT & WISDOM,C P M O
Phrase,LOOK SHARP,D M P A
Phrase,POKING FUN,M C D I
Phrase,BADGE OF HONOR,D H P A
Phrase,WORK OUT THE KINKS,M D C O
Phrase,GOOD POINT,C M D A
Food & Drink,CRISPY BACON,P C W O
Phrase,DEAD GIVEAWAY,D M G I
Person,GOURMET COOK,C D H A
Thing,BABY SHAMPOO,
Phrase,SHOW ME HOW,
Food & Drink,GRAPE JUICE,G P M A
Thing,VOLUME KNOB,P C M A
Event,FOOD FIGHT,P M C A
Thing,OFFBEAT HUMOR,C P M A
Event,BLOWING A KISS,P G C A
Thing,FLAGPOLE,
Things,PIANO KEYS,
Phrase,I GOT MY WISH,F H C A
Living Thing,SAGEBRUSH,C H M A
Thing,TANGY FLAVOR,C M P A
Phrase,TOUGH IT OUT,
People,BRAZILIANS,C B K A
Phrase,NOTIFY ME,M G C O
Phrase,YOU BE THE JUDGE,H B M A
Person,HOCKEY FAN,M H C O
Food & Drink,PAPRIKA,G H M O
Thing,BUSHY BEARD,C M P A
Things,FOREIGN WORDS,M P C A
Things,FOG AND MIST,D I M P
Phrase,JUMPING FOR JOY,G D M I
Place,BINGO HALL,
Thing,BLANK PAGE,C M P A
Things,SKI BOOTS,C M D O
Thing,PAPERWORK,D M P A
Phrase,IN VOGUE,M P D I
Phrase,PAYING DUES,C G M A
Phrase,HIGHLY ORGANIZED,C M H A
Place,CITY BLOCK,H P C A
Phrase,REVVING UP,
Thing,GEOGRAPHY,G P M A
Thing,FOGHORN,H P C A
Phrase,I'M OVERJOYED,
Phrase,BAKED OR FRIED,D B M O
Things,CHUBBY CHEEKS,P M F O
Event,DOZING OFF,B C G A
Thing,POLICE UNIFORM,C M P A
Thing,WIGGLE ROOM,C D M A
Thing,BUSYWORK,D M P O
Person,PLAYWRIGHT,
On the Map,DULUTH,Y M C A
Food & Drink,DRIED FIGS,D B M I
Thing,POCKETBOOK,C H M O
Thing,NIFTY IDEA,C H D O
Things,PERKS OF THE JOB,D F H O
Phrase,WORDS FAIL ME,B M P A
Phrase,HIGH TIME,
Phrase,NOBODY KNOWS,C D M I
Phrase,PIPING HOT,
Thing,HEAVY TRAFFIC,
Phrase,LIVING PROOF,C M D A
Things,CHOICE WORDS,P D M A
Things,FAIR WAGES,P C D O
Person,BIOGRAPHER,C D M I
On the Map,KITTY HAWK,M C P O
Phrase,OBEY THE LAW,D C M I
Phrase,BACK AND FORTH,M D P A
Phrase,HUMBLE PIE,C D P A
Phrase,DON'T QUIT,D P M A
Person,THE BIG BOSS,B G P O
In the Kitchen,BACKSPLASH,
Things,FUN FACTS,F D P A
Phrase,LUCKY YOU,D P M O
Phrase,I'M HUNGRY,B D Y I
Phrase,BUYING IN BULK,M G D O
Thing,VIEWPOINT,
Thing,AUTOGRAPH,H M P O
Thing,HUSKY VOICE,H D P A
Show Biz,RADIO JINGLE,C D G I
Person,HIGH BIDDER,M P D O
Event,JURY DUTY,C D M A
Phrase,WAY OF LIFE,M K P I
Phrase,DAWN TO DUSK,C M P O
Thing,HOT GOSSIP,G H M O
Thing,PHOTO EXHIBIT,H D M A
Living Thing,MIGHTY OAK,D M G O
Food & Drink,CHILI POWDER,B D M A
Phrase,COME WHAT MAY,C H M A
Phrase,I'M BAFFLED,M H C I
People,PARTYGOERS,C B P A
Thing,WASHABLE WOOL,P C M A
Things,BYLAWS,P G C A
Thing,MUTUAL FUND,C D M A
Thing,A QUICK SMOOCH,D M C O
Things,LOFTY GOALS,G M C I
Phrase,A FAIR VALUE,C P H O
Proper Name,HUGH JACKMAN,
Phrase,KICK THE HABIT,
Phrase,BUMPER CROP,M D B A
Phrase,I WONDER WHY,C D P A
Things,WIPER BLADES,B P D O
Event,HOUSING BOOM,G C D A
Person,TRIVIA BUFF,C J G A
Phrase,BREAK IT OFF,B H M I
In the Kitchen,MIXING BOWL,C D P A
Phrase,PURE HOGWASH,W D P I
Place,PAVILION,C G P A
Show Biz,COMEDY DUO,
Phrase,DO YOUR JOB,C M P A
Thing,SCRAPBOOK,M P F A
Phrase,OUT OF FAVOR,D F H O
Things,HOME VIDEOS,C M D A
Phrase,FINISH UP,H C M I
On the Map,BANGOR,G D M A
Phrase,NOW I KNOW,C D P O
On the Map,HILO HAWAII,D C M A
In the Kitchen,CLING WRAP,D C B A
Things,GIGABYTES,D H C A
Thing,HALF-MOON,C H P A
Around the House,JUNK DRAWER,D C M O
Living Thing,LADYBUG,B F P A
Phrase,PAY THE PIPER,C M F O
Phrase,GIVE A HOOT,D C M A
Occupation,COURT BAILIFF,
Living Things,GUPPIES,C D M I
Phrase,IN FASHION,C D M O
Phrase,YOU MAY BEGIN,M P H I
Thing,SHADOW,G P M I
Things,A FEW LAUGHS,D G B A
Thing,DREAM JOB,B C M A
Phrase,SHOW YOUR STUFF,Y M G O
Thing,HAPPY FACE,C D P O
Phrase,ITCHING TO GO,C M P A
Event,A QUICK BREAK,C H P O
Food & Drink,WHITE GRAVY,F D C U
Thing,MICROSCOPE,
Phrase,A SNUG FIT,
Thing,BIKE RACK,M G C A
Phrase,WORDS OF WISDOM,
Fun & Games,RUGBY,D M P A
Occupation,BOOKKEEPER,C M D A
Phrase,CHECK THE BOX,M H C A
Phrase,FAR AND WIDE,F Y G O
Things,HOT TOPICS,D P M O
Phrase,BOTH OF US,D H C O
Phrase,GOOD WORK,M D B A
Thing,DOUBLE VISION,
Phrase,YOUNG AND FOOLISH,
Phrase,CATCH A WAVE,C D B A
Thing,HAIR RIBBON,
Food & Drink,JUICY BURGER,P C D I
Phrase,I'M HOPEFUL,D M I P
Thing,FUZZY MEMORY,
Phrase,A CUT ABOVE,F H D O
Thing,WILLPOWER,C M P A
Phrase,WAIST-HIGH,B D M A
Things,SOAP BUBBLES,D M C O
Things,PAIR OF PAJAMAS,C F M O
Event,BUYING A HOME,G M D I
Place,BANK VAULT,G H C A
On the Map,FLAGSTAFF,C H F A
Person,GROWING BOY,M B C A
Phrase,HANG TOUGH,G B M A
Things,LOW PRICES,M C D A
Phrase,BY YOUR SIDE,D P M A
Place,WALK OF FAME,F M H A
Thing,OXFORD SHIRT,B G H O
Living Thing,KING CRAB,D F G O
Phrase,HIGH-AND-MIGHTY,
People,WIVES,M C G A
Person,OFF-DUTY COP,C H D A
Phrase,EGO BOOST,G C M I
Phrase,IN GOOD HEALTH,M D H A
Food & Drink,PISTACHIOS,C D? H I
Phrase,OH MY GOSH,C H F I
Phrase,FADING AWAY,G B H O
Place,CITY PARK,C H F A
Phrase,BELOW ZERO,M B G A
Thing,DRIFTWOOD,D C F A
Rhyme Time,ZIP YOUR LIP,B C D O
Around the House,HUMIDIFIER,C D M A
Phrase,WHILE YOU WAIT,
Phrase,I'M JOKING,M D P I
Living Thing,PINK DAISY,C H M O
Thing,TOOTHPICK,C H M I
Phrase,AS YOU WISH,H C M I
Things,DOG BISCUITS,B D M A
Thing,FOOT MASSAGE,B C M O
Place,HAYLOFT,
Around the House,BODY WASH,H M P A
Things,PEAK HOURS,C M W A
What Are You Doing?,FIXING A SNACK,M C G A
Event,JOB FAIR,C D G A
Thing,VOCABULARY,D P C A
Phrase,JOIN THE CLUB,
Proper Name,WAYNE BRADY,C D M A
Phrase,OVER MY HEAD,F D C O
What Are You Doing?,GOOFING OFF,
Food & Drink,KETCHUP,C K P U
Thing,CLOGGED PIPE,B F M A
Person,BOXING FAN,C H B I
Fun & Games,FIELD HOCKEY,D M C O
Phrase,MAYBE I WILL,P C M A
Place,IRISH PUB,
Food & Drink,BRICK OVEN PIZZA,C H M I
On the Map,QUEBEC CANADA,D M H O
Things,CLOUDS AND FOG,C P D A
Fictional Characters,HAPPY & GRUMPY,
Food & Drink,ICING,G C H A
Thing,GROWTH CHART,P C M A
Things,BOBBY PINS,P C D O
Around the House,SQUEAKY DOOR,G H C A
Food & Drink,VEGGIE DIP,C D P O
Thing,FISH FOOD,C P B A
Proper Name,PAULA ABDUL,H C D A
Thing,SHAVED HEAD,
Event,OCEAN VOYAGE,C D M A
People,JUDGE AND JURY,P B M O
Phrase,WARM AND COZY,G C H A
Thing,PHONE JACK,M D H O
Show Biz,BANJO PLAYER,P M C A
Thing,BRIGHT IDEA,D M C I
Phrase,HEAR HIM OUT,B M D I
Phrase,QUICK ON THE DRAW,
Thing,EPIC SAGA,D M W A
Phrase,IT'S YOUR MOVE,C H M O
Around the House,COMFY SOFA,C H M A
Thing,KNOWING WINK,C G P A
Phrase,IT LOOKS IFFY,K C G O
Thing,BUYING POWER,C G D A
Phrase,MY JAW DROPPED,
Proper Name,UTAH JAZZ,M D C O
Thing,FOOD VOUCHER,B G H O
Thing,OIL GAUGE,G M D O
Phrase,FLAG HIM DOWN,G H D O
Thing,APOLOGY,M D P A
Thing,KEY PLAY,
Thing,PAID INVOICE,C D M O
Thing,BIT OF TRIVIA,
Thing,BUZZING SOUND,C M P O
Show Biz,RHYTHM GUITAR,C P G O
Phrase,THICK HAZE,
Thing,PURE OXYGEN,F C M I
Phrase,BOOKED SOLID,G H P A
Place,BACK PATIO,C H P O
Phrase,GIVE ME FIVE,
Phrase,CRAZY ABOUT YOU,M P H O
Thing,DEEP SIGH,B D H O
Phrase,WAR OF WORDS,M D P A
Phrase,TOUGH TO AVOID,M D C O
Phrase,WE KNOW HIM,G B W O
Phrase,FIT FOR A KING,B G F O
Fun & Games,DRAW POKER,C H M A
Phrase,I'M BEHIND YOU,M C G O
Thing,BRIDAL VEIL,M F C A
Thing,FLEXIBILITY,C M P A
Thing,KIND OFFER,D M F I
Thing,ROUGH PATCH,C D M A
Phrase,WEIGH YOUR OPTIONS,M D Y O
Phrase,ABOUT-FACE,D M G A
Event,HIKE IN PAY,P D W O
Phrase,WITHOUT A FLAW,H C D A
Things,TAX & GRATUITY,C M P A
Place,MAGIC SHOP,C H M A
Place,KARAOKE BAR,B C M A
Show Biz,HOLLYWOOD GOSSIP,C D M A
Phrase,YOU HAVE TO FOCUS,M P H A
Thing,FORMAL GOWN,M C B A
Event,QUITTING A JOB,M G H A
Thing,MYTHOLOGY,M B P O
Phrase,QUIET DOWN,C G H A
Thing,WORLD MAP,W D P O
Thing,PARTY FAVOR,D C P A
Fictional Character,JEDI KNIGHT,B D M O
Phrase,FILLED WITH JOY,W D F I
Things,OPINIONS & ADVICE,C D M A
Phrase,I FORGIVE YOU,B D M A
Thing,PORCH SWING,I C M H
Phrase,MAKE IT A HABIT,
Thing,BIRTHDAY WISH,G H F O
Phrase,JOIN NOW,C D M A
Thing,DIALOGUE,H C M O
Phrase,PROOF POSITIVE,
Thing,BRAKE FLUID,C D M A
Person,NATIVE OF CHICAGO,
Phrase,I WON'T BUDGE,C D M A
Phrase,SOUNDS YUMMY,D M C A
Phrase,ORDER BY FAX,G K D O
Thing,SAFARI JACKET,C D M A
Thing,FOAM PACKAGING,G C M A
Thing,VINYL ALBUM,C M F I
Thing,MOSQUITO BITE,H M K A
Phrase,KICK OFF YOUR SHOES,Y C G A
Phrase,IT GROWS ON YOU,
People,TWIN BOYS,M D P O
Thing,DIVING MASK,
Thing,OFFICIAL FAN CLUB,C A M P
People,IOWANS,M H C A
Phrase,I MADE A VOW,
Food & Drink,HOT COCOA MIX,M B D A
Thing,STOPWATCH,H G D I
Things,BIG DREAMS,P M G O
Person,HISTORY BUFF,C M D I
