Category,Puzzle,Letters
Thing,MEMO,C D M A
Thing,PERFUME,D M P U
Phrase,LIGHTS OUT,M K C O
Place,HAVANA,G C M A
Place,GYMNASIUM,M D H O
Place,MUSEUM,M P D O
Thing,HARDWARE,D W M O
Occupation,BUSBOY,
Thing,MAGIC ACT,B C M A
Phrase,DO NOT DISTURB,F G Y O
Person,HUNK,C D M A
Thing,TIDBIT,C M P O
Title,THE LION KING,C H M O
Things,BRACES,C M P O
Thing,RIBBON,P D C O
Person,MEG RYAN,H P K A
Place,BAKERY,C M Y I
People,CROWD,C D M A
Slang,FED UP,C D M A
Place,DUNGEON,D M P O
Thing,DATE OF BIRTH,D C M A
Phrase,EBB AND FLOW,D M Y A
Thing,MURPHY'S LAW,M P C A
Thing,FAUCET,C K J A
Phrase,WOE IS ME,C D M A
Title,THE MASK,H C M A
Place,CHURCH,M H G I
Slang,PHOOEY,G D C O
Thing,TIARA,H C P O
Thing,FLEA,M D B O
Thing,KIMONO,G D M A
Things,AIRWAVES,C D G I
Phrase,IF LOOKS COULD KILL,C D M O
Thing,BUCKET,P M D A
Occupation,MAYOR,M C H A
Thing,AWARD,M C D A
Thing,PILLOW,D M H A
Thing,GIGGLE,D M P A
Landmark,THE ALAMO,G D C A
Phrase,LO AND BEHOLD,M Y D A
Thing,HOT SAUCE,D C H A
Person,GURU,J D M A
Phrase,AS I WAS SAYING,G C D A
Thing,OVEN,C D M A
Phrase,OUT OF SYNC,C F G O
Thing,IDEA,M H D I
Phrase,THUMBS UP,H M B U
Occupation,RABBI,C B M A
Thing,SHOEHORN,C D M A
Thing,CROWN,C B P O
Thing,DRUMSTICK,C D P A
Slang,UP TO SNUFF,M C P A
Thing,BRANDING IRON,G D C I
Thing,FLAG,P M C U
Person,DUSTIN HOFFMAN,D M F I
Thing,OLIVE,D G M A
Phrase,CHANGE OF HEART,H G C I
People,COHORTS,D P M A
Place,KENYA,
Thing,CRICKET,C D M I
People,MARY & JOSEPH,M D C A
Thing,BEDTIME,M D C A
Thing,LAUGHTER,G H M A
Thing,BAY WINDOW,C M B A
Fictional Character,FRASIER,P G M A
Slang,CUTIE PIE,O P M W
Place,VALLEY,C P M I
Event,RODEO,C M P I
Fictional Character,VAMPIRE,C D M O
Title,JEOPARDY,P D M I
Thing,MONEY,D P C I
Thing,ROOF,
Thing,LOGIC,H M D O
Thing,BOW TIE,C D M I
Thing,PRIZE,P C M I
Thing,SKIN,C D P U
Slang,COP OUT,C D M O
Thing,DIAGRAM,D M C A
Person,CLOWN,C G P O
Slang,THE BLAHS,C P B I
Thing,OATMEAL,B M C A
Things,TRACKS,C M W O
Person,PARTY ANIMAL,M G P A
Phrase,CRY LIKE A BABY,M H D O
Thing,IVORY SOAP,C M P A
Phrase,OUT OF TOWN,C D M O
Thing,CUPCAKE,P C B A
Place,SWAMP,H D P O
Event,JUNE WEDDING,M D G I
Slang,HANGING OUT,H G F O
Thing,VOODOO,B C D A
Person,COWBOY,P C O H
Place,PARK,C D M A
Occupation,POLICEMAN,M P C O
People,AIR FORCE,C F H O
Title,BLACK BEAUTY,C D M A
Phrase,OUT OF PLACE,C D M O
Place,GENOA ITALY,C D M O
Phrase,PEACE OF MIND,P M C I
Thing,BUBBLE BATH,C D M A
Thing,BALL GAME,C D M A
Place,PANTRY,C M P A
Things,SOAPSUDS,C D M A
Thing,LOCKER,M C K O
